id,title,cast,release_year,duration_int,duration_type,mean_rating
as1,the grand seduction,"brendan gleeson, taylor kitsch, gordon pinsent",2014,113.0,min,3.4671314741035855
as2,take care good night,"mahesh manjrekar, abhay mahajan, sachin khedekar",2018,110.0,min,3.54868154158215
as3,secrets of deception,"tom sizemore, lorenzo lamas, robert lasardo, richard jones, yancey arias, noel gugliemi",2017,74.0,min,3.5
as4,pink: staying true,"interviews with: pink, adele, beyoncé, britney spears, christina aguilera, more!",2014,69.0,min,3.5380549682875264
as5,monster maker,"harry dean stanton, kieran o'brien, george costigan, amanda dickinson, alison steadman, grant bardsley, bill moody, matthew scurfield",1989,45.0,min,3.4789915966386555
as6,living with dinosaurs,"gregory chisholm, juliet stevenson, brian henson, michael maloney",1989,52.0,min,3.5551948051948052
as7,hired gun,"alice cooper, liberty devitto, ray parker jr., david foster, jason hook, steve vai, phil x, rudy sarzo, jay graydon, rob zombie, kenny aronoff, steve lukather, justin derrico, eva gardner, john 5, eric singer, derek st. holmes, paul bushnell, jason newsted, glen sobel, nita strauss, chris johnson",2017,98.0,min,3.553231939163498
as8,grease live!,"julianne hough, aaron tveit, vanessa hudgens, keke palmer, carly rae jepson, mario lopez, carlos penavega, kether donohue, jordan fisher, david del rio, andrew call, wendell pierce, boyz ii men, jessie j, ana gasteyer, didi conn",2016,131.0,min,3.5172744721689058
as9,global meltdown,"michael paré, leanne khol young, patrick j. maceachern",2017,87.0,min,3.501012145748988
as10,david's mother,"kirstie alley, sam waterston, stockard channing",1994,92.0,min,3.439571150097466
as11,forest fairies,"emily wilder, adrian cowan, gary mckenzie, jeremy ninaber, brenda somers, brian carleton, lora burke, winny clarke, mercedes morris, rebecca perry, emily agard, graham gauthier",2016,88.0,min,3.607068607068607
as12,take care,"leslie bibb, kevin curtis, nadia dajani",2014,93.0,min,3.569072164948454
as13,the night eats the world,"anders danielsen lie, golshifteh farahani, denis lavant, sigrid bouaziz, david kammenos",2018,94.0,min,3.506550218340611
as14,resilencia,"rafinha alcantara, marc-andré ter stegen, sergi roberto, dr. ramón cugat, mazinho, xavi arruebo, celia ferreira da silva, ángel lapuebla, javier enríquez, thiago alcantara, valeria alcantara",2020,46.0,min,3.5701219512195124
as15,elon musk: the real life iron man,"elon musk, per wimmer, julie anderson-ankenbrandt, cary cooper",2018,74.0,min,3.522727272727273
as16,summer '03,"joey king, jack kilmer, andrea savage, paul scheer, june squibb, erin darke, stephen ruffin, kelly lamor wilson, logan medina, travis james, bill eudaly, elise duquette",2019,96.0,min,3.5297356828193833
as17,zoombies,"marcus anderson, kaiwi lyman, andrew asper",2016,87.0,min,3.4989837398373984
as18,zoo babies,narrator - gillian barlett,2008,1.0,season,3.5645879732739423
as19,zoë coombs marr: bossy bottom,zoë coombs marr,2020,1.0,season,3.5451612903225804
as20,zoe,"ewan mcgregor, léa seydoux, theo james, miranda otto, rashida jones, christina aguilera, matthew gray gubler, anthony shim",2018,104.0,min,3.5867768595041323
as21,zoboomafoo,,2001,1.0,season,3.506637168141593
as22,zo zo zombie: mini-series,"alex cazares, ben diskin, cristina vee, erika ishii",2020,1.0,season,3.4453302961275627
as23,zis boom bah,"grace hayes, mary healy",1941,62.0,min,3.5940919037199124
as24,zerozerozero,"andrea riseborough, harold torres, claudia pineda, tcheky karyo, giuseppe de domenico, gabriel byrne, dane dehaan, adriano chiaramida",2020,1.0,season,3.5174757281553397
as25,zandalee,"nicolas cage, judge reinhold, erika anderson, joe pantoliano, viveca lindfors, aaron neville, steve buscemi, ian abercrombie, marisa tomei, jo-el sonnier, newell alexander, blaise delacroix, eliott keener, richard greenberg, john cutler, thomas iain",1991,94.0,min,3.5528455284552845
as26,zambezi: force of life,,2005,50.0,min,3.529094827586207
as27,zahara: the return,"natasha heschélle, curtis morgan, hannah scott, dennis nimoh, christine nguyen",2020,1.0,season,3.433114035087719
as28,z: the beginning of everything,"christina ricci  , david hoflin",2017,1.0,season,3.570588235294118
as29,yu-gi-oh! zexal,"eli jay, marc thompson, sean schemmel, eileen stevens",2015,3.0,season,3.4379232505643342
as30,yu-gi-oh! arc-v,"michael liscio jr., emily bauer",2018,3.0,season,3.550373134328358
as31,yu-gi-oh! 5d's,"gregory abbey, bella hudson, ed paul",2011,2.0,season,3.5347222222222223
as32,your bleeped up brain,"dobrokhotova ekaterina, mike new",2013,1.0,season,3.5528455284552845
as33,young lovers,"sally forrest, keefe brasselle, hugh o'brian, eve miller, lawrence dobkin, rita lupino",1949,86.0,min,3.5425055928411635
as34,young love (at the sun factory),,2007,36.0,min,3.5402542372881354
as35,young love (at bowery ballroom),,2007,37.0,min,3.5813953488372094
as36,young lions,"alex dimitriades, alexandra davies, tom long, anna lise phillips, katherine slattery, penny cook, amie mckenna, socratis otto, anna torv, john waters, maya stange, jackson purtan-smith, george anakotta",2002,1.0,season,3.6
as37,you're not you,"hilary swank, emmy rossum, josh duhamel",2015,103.0,min,3.483495145631068
as38,"you, me and him","david tennant, lucy punch, faye marsay, gemma jones",2017,98.0,min,3.5107066381156318
as39,yoga with sound meditations,ann-marie newland,2016,9.0,min,3.4712153518123667
as40,yoga to harness your chakra energy,caroline shola arewa,2014,18.0,min,3.547808764940239
as41,yoga to ease flight anxiety,anne-marie newland,2016,14.0,min,3.5220306513409962
as42,yoga to break any habit,dr daniel j nightingale,2014,20.0,min,3.5302375809935205
as43,"yoga therapy for back pain, neck pain & stress relief - lindsey samper",lindsey samper,2018,1.0,season,3.5587606837606836
as44,yoga savasana relaxation,anne-marie newland,2014,19.0,min,3.5328389830508473
as45,yoga for relaxation anywhere,anne-marie newland,2014,18.0,min,3.4924406047516197
as46,yoga for relaxation and stress relief anywhere,anne-marie newland,2014,20.0,min,3.4871244635193133
as47,yoga for relaxation and stress relief,anne-marie newland,2014,20.0,min,3.5175824175824175
as48,yoga for mindfulness and meditation,anne-marie newland,2016,22.0,min,3.3957446808510636
as49,yoga for men's health,anne-marie newland,2016,60.0,min,3.5752032520325203
as50,yoga for breath awareness,anne-marie newland,2016,6.0,min,3.5317460317460316
as51,yoga for beginners,anne-marie newland,2016,54.0,min,3.524678111587983
as52,yoga for abdominal breathing,anne-marie newland,2019,5.0,min,3.490759753593429
as53,yellowneck,"lin mccarthy, stephen courtleigh, berry kroeger, harold gordon, bill mason",1955,84.0,min,3.638084632516704
as54,yearly departed,"phoebe robinson, rachel brosnahan, tiffany haddish, patti harrison, natasha leggero, natasha rothwell, sarah silverman, ziwe, christina aguilera, sterling k brown",2020,1.0,season,3.5172064777327936
as55,yatra (telugu),"mammootty, suhasini maniratnam",2019,126.0,min,3.6176470588235294
as56,yatra (malayalam),"mammootty, suhasini maniratnam",2019,125.0,min,3.557272727272727
as57,yancy derringer,"jock mahoney, x brands, kevin hagen, framces bergen, charlene james, joan taylor, charles bronson, margaret hayes, kelly thordsen, particia blair",1959,1.0,season,3.497983870967742
as58,xploration earth 2050,chuck pell,2017,2.0,season,3.493069306930693
as59,xiaolin chronicles,"tara strong, jennifer hale, eric bauza, david kaye, michael donovan, cree summer",2015,1.0,season,3.5395299145299144
as60,xchange,"stephen baldwin, pascale bussières, kim coates, kyle maclachlan, tom rack",2001,109.0,min,3.4717348927875245
as61,x-ray,"barbi benton, chip lucia",1983,89.0,min,3.5
as62,wwii in hd,"gary sinise, charles scheffel",2009,1.0,season,3.534065934065934
as63,wrangler: anatomy of an icon,"jack wrangler, margaret whiting, marc shaiman, bruce vilanch, christine ebersole, michael musto, chi chi la rue, sharon mitchell, jamie gillis, candida royalle, samantha fox, gloria leonard",2008,85.0,min,3.5
as64,wpc 56,"wpc annie taylor, charles de'ath, olly rix, james barriscale, rachel leskovac, liam jeavons, mark healy",2015,3.0,season,3.470347648261759
as65,would i lie to you?,"david mitchell, lee mack, rob brydon",2009,1.0,season,3.576673866090713
as66,wotakoi: love is hard for otaku,"arisa date, kent ito, miyuki sawashiro, tomokazu sugita, yuki kaji",2018,1.0,season,3.5162271805273835
as67,world’s toughest race: eco-challenge fiji,bear grylls,2020,1.0,season,3.5639412997903563
as68,world war ii: when lions roared,"michael caine, john lithgow, bob hoskins",1994,1.0,season,3.479757085020243
as69,world war ii: saving the reality,dan aykroyd,2012,56.0,min,3.6206896551724137
as70,world war 2 - the call of duty: a complete timeline,liam dale,2020,1.0,season,3.539325842696629
as71,world inferno friendship society,,2007,40.0,min,3.54040404040404
as72,world food championships,tiffany derry,2014,1.0,season,3.5437100213219614
as73,wordworld,,2007,1.0,season,3.5
as74,words on bathroom walls,"charlie plummer, taylor russell, andy garcia, annasophia robb, beth grant, devin bostick, lobo sebastian, molly parker, walton goggins",2020,111.0,min,3.5759493670886076
as75,wordgirl,,2010,1.0,season,3.4871794871794872
as76,wonders of mexico,anthony mendez,2018,1.0,season,3.541095890410959
as77,wonderful nursery rhymes with mia - little baby bum,,2019,33.0,min,3.62448132780083
as78,wonderful nursery rhymes with jacus - by little baby bum,,2019,34.0,min,3.521920668058455
as79,wonder balls,,2015,1.0,season,3.6028513238289204
as80,women of valor,"susan sarandon, kristy mcnichol, terry o'quinn",1986,95.0,min,3.61340206185567
as81,woman of desire,"jeff fahey, bo derek",1994,99.0,min,3.5653061224489795
as82,woke up like this,"vhong navarro, lovi poe",2017,104.0,min,3.5052631578947366
as83,"wizard of loneliness, the","lukas haas, lea thompson",1988,111.0,min,3.5282101167315174
as84,within our gates,"evelyn preer, flo clements",1920,78.0,min,3.5518358531317493
as85,wishenpoof,"addison holley, hope cassandra, scott mccord, katie griffin, ethan tavares, devan cohen, roanna cochrane, millie davis, jason priestley, saara chaudry, kyle lomas, ava priestley, johnny orlando, kathy laskey, matthew macfadzean, tj mcgibbon, elizabeth hanna, caissie levy, ava close, nissae isen, jeff geddis, kristin fairlie",2019,4.0,season,3.5491803278688523
as86,wisconsin unexplained,michael butt,2018,1.0,season,3.529182879377432
as87,wipeout canada,"ennis esmer, jonathan torrens, jessica phillips",2011,1.0,season,3.665650406504065
as88,wipeout australia,"james brayshaw, josh lawson, kelly landry",2009,1.0,season,3.546908315565032
as89,winterset,"burgess meredith, eduordo ciannelli",1936,77.0,min,3.536964980544747
as90,winds of the wasteland,"john wayne, phyllis fraser, lew kelly, douglas cosgrove, lane chandler, sam flint, bob kortman, ed cassidy, jon hall, merrill mccormick, christian j. frank, jack rockwell, arthur millett, tracy layne, yakima canutt, horace b. carpenter, herman hack, henry hall, lloyd ingraham, jack ingram, cliff lyons, murdock macquarrie, clyde mcclary, bud mcclure, art mix, george morrell, bud pope, francis walker, joe yrigoyen",1936,55.0,min,3.4562363238512037
as91,wind,"matthew modine, jennifer grey, cliff robertson, jack thompson, stellan skarsgård, rebecca miller, ned vaughn, james rebhorn, ron palillo",1992,126.0,min,3.5755693581780537
as92,william the conqueror,,2015,53.0,min,3.608447488584475
as93,william tecumseh sherman: beyond the march to the sea,jonathan chase cook,2019,115.0,min,3.4454545454545453
as94,william lee martin: the nutcracker - a christmas stand-up comedy spectacular,william lee martin,2019,55.0,min,3.5542168674698793
as95,william lee martin: standing in the middle,william lee martin,2019,58.0,min,3.6004016064257027
as96,william and kate: into the future,"prince william, kate middleton",2011,49.0,min,3.5355603448275863
as97,wildlike,"bruce greenwood, ella purnell, brian geraghty",2021,104.0,min,3.5465367965367967
as98,wildfire 7,"tracey gold, alexander walters",2002,95.0,min,3.5424628450106157
as99,wildest places,,2019,3.0,season,3.500970873786408
as100,wilder napalm,"debra winger, dennis quaid, arliss howard, m. emmet walsh, jim varney",1993,109.0,min,3.609302325581395
as101,wild north,,2014,1.0,season,3.5323590814196244
as102,wild kratts,"chris kratt, martin kratt, athena karkanis, jonathan malen, heather bambrick, zachary bennett, eva almos, cory doran, gavin kratt, aidan kratt, ronan kratt, addison holley, maya lowe, paige roughely, emilia mccarthy, zoe fraser, rachel marcus, nolan kratt, julie lemieux, amariah faulkner, christian martyn, jacob ewaniuk, jaclyn forbes, ian hanson, aiden kratt, charles vandervaart, jenna warren",2011,1.0,season,3.4162735849056602
as103,wild geese,"richard burton, roger moore, richard harris",2012,135.0,min,3.5795964125560538
as104,wild colombia revealed,,2016,91.0,min,3.5388888888888888
as105,wild boys,"daniel macpherson, michael dorman, alexander england, zoe ventoura, anna hutchison, jeremy sims, nathaniel dean, david field, caroline brazier, krew boylan",2011,1.0,season,3.582089552238806
as106,why we fight,"gore vidal, john mccain, ken adelman",2006,99.0,min,3.523421588594705
as107,why i ran,,2008,1.0,season,3.5838852097130243
as108,whoop!,abish mathew,2018,64.0,min,3.5558882235528944
as109,who wrote the new testament?,,2016,131.0,min,3.5541586073500966
as110,who put the klan into ku klux klan,neil oliver,2018,59.0,min,3.479296066252588
as111,who killed doc robin,,1948,52.0,min,3.4958071278825997
as112,whitney cummings: money shot,whitney cummings,2010,48.0,min,3.5514541387024607
as113,whitechapel,"rupert penry-jones, phil davis, steve pemberton, claire rushbrook",2013,4.0,season,3.534
as114,white tiger,"aleksey vertkov, vitaliy kishchenko, valeriy grishko",2021,109.0,min,3.502044989775051
as115,white savior: racism in the american church,ashe jaafaru,2019,62.0,min,3.520366598778004
as116,white dragon,"john simm, anthony wang, emilia fox, katie leung, anthony hayes, tim mcinnerny, tom wu, kae alexander, jason wong, thomas chaanhing, ryan mcken, magdalene bird, max keeble, elliott brough, nick reed, david keeling, rosalind halstead, john moraitis, nicholas bailey, christophe r. tek, chike chan, arthur lee, daniel york, tony ho, orion lee",2019,1.0,season,3.6190965092402463
as117,whistle stop,"ava gardner, george raft, victor mclaglen, tom conway, jorja curtright",1946,84.0,min,3.5725108225108224
as118,where love found me,"kaitlin cheung, andrew cheney, james kyson, brian fong, jennifer klekas, max mendoza, marcus natividad, ronnie lazaro, madeleine nicolas",2018,85.0,min,3.493801652892562
as119,where is chicky? - chapter two,,2019,22.0,min,3.6341463414634148
as120,where is chicky? - chapter three,,2019,22.0,min,3.446938775510204
as121,where is chicky? - chapter one,,2019,22.0,min,3.5493562231759657
as122,where is chicky? - chapter four,,2019,22.0,min,3.528541226215645
as123,where hands touch,"amandla stenberg, george mckay, abbie cornish",2019,122.0,min,3.4477611940298507
as124,when the lights go on again,"james lydon, barbara belden, regis toomey, george cleveland, warren mills, jill browning",1944,103.0,min,3.40599173553719
as125,when in your reflection,"clara de la rúa, victoria isabella villa, marta tricerri",2019,9.0,min,3.5248015873015874
as126,when did you last see your father?,"jim broadbent, colin firth, gina mckee",2008,92.0,min,3.5441176470588234
as127,when a woman loves a man,"j. wells jr., tina christine, dani coleman, jeffrey creightney, kemuel crossty",2019,90.0,min,3.6479591836734695
as128,whatever father,"hassam, carlos ramírez, bebsabe duque",2018,102.0,min,3.5
as129,what's up in space: the solar system for kids,,2010,1.0,season,3.5388655462184873
as130,what's my line?,john daly,1955,1.0,season,3.492569002123142
as131,what went wrong: countdown to catastrophe,john young,2019,1.0,season,3.5803964757709252
as132,what the constitution means to me,"heidi schreck, mike iveson, rosdely ciprian, thursday williams",2020,1.0,season,3.55736137667304
as133,what price crime,"charles starrett, noel madison, virginia cherrill, charles delaney, jack mulhall, nina guilbert, henry roquemore",1935,65.0,min,3.4750519750519753
as134,what comes around,"barry corbin, cherie elledge-grapes, buck ford, leonard p. geer, john c. hill, bo hopkins, arte johnson, jerry reed",1985,114.0,min,3.46509009009009
as135,wgc-dell technologies match play reveal show,,2021,1.0,season,3.463389121338912
as136,western gold,"smith ballew, heather angel, leroy mason, howard p. hickman, ben alexander",1937,56.0,min,3.541501976284585
as137,west of nevada,"rex bell, joan barclay",1936,59.0,min,3.562098501070664
as138,wendy,"christa clahane, abbe hoekstra, zena drive, kyle orzeck",2016,1.0,season,3.425553319919517
as139,welliewishers,,2017,2.0,season,3.6604938271604937
as140,welcome to the space show (english dub),"keiji fujiwara, michael sinterniklaas",2011,136.0,min,3.674193548387097
as141,welcome to the ballroom,shinba tsuchiya | ayane sakura | nobuhiko okamoto | kentaro tomita | sumire morohoshi,2017,1.0,season,3.5172786177105833
as142,welcome to kutsher's: the last catskills resort,"freddie roman, mark kutsher, helen kutsher, larry strickler, celia duffy, krazy tyrone",2015,70.0,min,3.492
as143,wedding cha shinema,"shivraj waichal, rucha inamdar, mukta barve, purnima ahire, adesh aware",2019,138.0,min,3.567484662576687
as144,we'll take manhattan,"frances barber, aneurin barnard, fiona button",2012,89.0,min,3.533066132264529
as145,we need to talk about kevin,"tilda swinton, john c. reilly, ezra miller",2012,113.0,min,3.5613839285714284
as146,wayne (4k uhd),"mark mckenna, ciara bravo, jon champagne",2019,1.0,season,3.518867924528302
as147,watermelon man,"godfrey cambridge, estelle parsons, howard caine",1970,100.0,min,3.550935550935551
as148,waterfalls for sleep 8 hours,,2016,480.0,min,3.5464135021097047
as149,water (short),,2017,4.0,min,3.5282828282828285
as150,watch the game like never before with x-ray,,2020,1.0,season,3.565359477124183
as151,wash your hands & more classic kids songs - kiiyii,,2020,30.0,min,3.5251046025104604
as152,war of likes,"ludwika paleta, regina blandón, manolo cardona, michelle rodríguez, loreto peralta, mauricio “diablito” barrientos, catalina lópez, patricia bernal, héctor jiménez, siouzanna melikián, paulette hernández, pamela cortés, josé sefami, pablo cruz, elsa ortíz, enrique olvera, miguel bosé",2021,104.0,min,3.596774193548387
as153,war comes to america,"dean acheson, general bergeret",1945,65.0,min,3.5256147540983607
as154,war (telugu),"hrithik roshan, tiger shroff, vaani kapoor, ashutosh rana, anupriya goenka, yash raaj singh, mashhoor amrohi, sanjeev vatsa, soni razdan, dipannita sharma, arif zakaria, amit gaur",2019,152.0,min,3.4786585365853657
as155,war (tamil),"hrithik roshan, tiger shroff, vaani kapoor, ashutosh rana, anupriya goenka, yash raaj singh, mashhoor amrohi, sanjeev vatsa, soni razdan, dipannita sharma, arif zakaria, amit gaur",2019,152.0,min,3.4938398357289526
as156,walter williams: suffer no fools,"walter williams, thomas sowell, charles murray, shelby steele, larry elder, douglas h. ginsburg, jack hirshleifer, manny klausner, thomas c. rustici, willette klausner, steve javie",2014,55.0,min,3.5805439330543933
as157,walter,"andrew j. west, peter facinelli, virginia madsen, william h. macy",2015,86.0,min,3.5
as158,wallace & gromit's cracking contraptions,peter sallis,2002,1.0,season,3.505524861878453
as159,wallace & gromit: the complete collection,peter sallis,2008,1.0,season,3.534216335540839
as160,wallaby jim of the islands,"george houston, ruth coleman, douglas walton, wilhelm von brincken, mamo clark, colin campbell, syd saydor",1937,68.0,min,3.5632780082987554
as161,wall street cowboy,"roy rogers, george ""gabby"" hayes, raymond hatton, ann baldwin, pierre watkin, craig reynolds, louisiana lou, ivan miller, reginald barlow",1939,57.0,min,3.5455465587044532
as162,walkaway joe,"jeffrey dean morgan, david strathairn, julian feder, julie ann emery",2020,89.0,min,3.5483870967741935
as163,wake in fright,"sean keenan, alex dimitriades, caren pistorius, gary sweet, anna samson, lee jones, jada alberts",2017,1.0,season,3.4211663066954645
as164,wakaalat from home,"sumeet vyas, nidhi singh, kubbra sait, gopal datt, anuvab pal, rit bahadur bayalkoti, dipesh bhujal, akarsh khurana, shifu - cat",2020,1.0,season,3.4713193116634797
as165,waiting on mary,"brian shea, emilee dupre', ned averill-snell, bob devin jones, bonnie agan, jim wicker, matt lunsford",2016,77.0,min,3.472340425531915
as166,waiting for you,"colin morgan, fanny ardant, abdelkrim bahloul, clare holman",2018,92.0,min,3.59026369168357
as167,waiting for lightning,"danny way, tony hawk, rob dyrdek, travis pastrana, laird john hamilton, paul rodriguez jr.",2012,96.0,min,3.4841772151898733
as168,waiting for anya,"noah schnapp, thomas kretschmann, frederick schmidt, anjelica huston, jean reno",2020,109.0,min,3.466139954853273
as169,wait for your laugh,"rose marie, carl reiner, dick van dyke, dan harmon",2018,85.0,min,3.4989648033126293
as170,wahlburgers,"mark wahlberg, donnie wahlberg, paul wahlberg",2017,7.0,season,3.5860927152317883
as171,waco: madman or messiah,,2018,1.0,season,3.4865424430641823
as172,voyage of the continents,,2013,1.0,season,3.52755905511811
as173,voyage into space,"akio ito, kaneko mitsundbu",1970,98.0,min,3.5437743190661477
as174,vows of deception,"cheryl ladd, nick manusco, nancy cartwright, vyto ruginis, mike farrell, cady huffman",1996,94.0,min,3.4980988593155895
as175,volcano: fire on the mountain,"dan cortese, cynthia gibb, brian kerwin",1997,88.0,min,3.559375
as176,voice from the stone,"emilia clarke, marton csokas, caterina murino, remo girone",2017,90.0,min,3.5218295218295217
as177,vocabulary and numbers with harry the bunny and friends,,2018,2.0,season,3.5214007782101167
as178,vocabularry,,2012,31.0,min,3.5549682875264272
as179,viswasam,"ajith kumar, nayanthara",2019,151.0,min,3.5661157024793386
as180,visit to a chief's son,"richard mulligan, johnny sekka",1974,92.0,min,3.623456790123457
