id,title,cast,release_year,duration_int,duration_type,mean_rating
ds1,duck the halls: a mickey mouse christmas special,"chris diamantopoulos, tony anselmo, tress macneille, bill farmer, russi taylor, corey burton",2016,23.0,min,3.5543478260869565
ds2,ernest saves christmas,"jim varney, noelle parker, douglas seale",1988,91.0,min,3.493927125506073
ds3,ice age: a mammoth christmas,"raymond albert romano, john leguizamo, denis leary, queen latifah",2011,23.0,min,3.5593952483801297
ds4,the queen family singalong,"darren criss, adam lambert, derek hough, alexander jean, fall out boy, jimmie allen",2021,41.0,min,3.508492569002123
ds5,the beatles: get back,"john lennon, paul mccartney, george harrison, ringo starr",2021,1.0,season,3.546277665995976
ds6,becoming cousteau,"jacques yves cousteau, vincent cassel",2021,94.0,min,3.600418410041841
ds7,hawkeye,"jeremy renner, hailee steinfeld, vera farmiga, fra fee, tony dalton, zahn mcclarnon",2021,1.0,season,3.5372093023255813
ds8,port protection alaska,"gary muehlberger, mary miller, curly leach, sam carlson, stuart andrews, david squibb",2015,2.0,season,3.570806100217865
ds9,secrets of the zoo: tampa,"dr. ray ball, dr. lauren smith, chris massaro, tiffany burns, mike burns, melinda mendolusky",2019,2.0,season,3.5979591836734692
ds10,a muppets christmas: letters to santa,"steve whitmire, dave goelz, bill barretta, eric jacobson",2008,45.0,min,3.6091101694915255
ds11,adventure thru the walt disney archives,"don hahn, kathryn beaumont, pete docter, kevin feige, mark hamill, bob iger",2020,59.0,min,3.609090909090909
ds12,puppy for hanukkah,,2020,4.0,min,3.53248031496063
ds13,the pixar story,"stacy keach, john lasseter, brad bird, john musker, ron clements, frank thomas",2007,91.0,min,3.5745526838966204
ds14,"dr. oakley, yukon vet","dr. michelle oakley, zachary fine",2013,10.0,season,3.564870259481038
ds15,america the beautiful,michael b. jordan,2021,2.0,min,3.5328054298642533
ds16,baymax!,,2021,1.0,min,3.5382293762575454
ds17,ciao alberto,"jack dylan grazer, marco barricelli",2021,8.0,min,3.5072463768115942
ds18,disney fancy nancy,"mia jenness, alyson hannigan, rob riggle, spencer moss, dana heath",2018,3.0,season,3.5435203094777563
ds19,disney intertwined,"carolina domenech, josé jiménez zapiola, kevsho, elena roger, clara alonso, emilia mernes",2021,1.0,season,3.5742268041237115
ds20,enchanted,"amy adams, patrick dempsey, james marsden, timothy spall, idina menzel, susan sarandon",2007,110.0,min,3.5180467091295116
ds21,feast,"stephen apostolina, kirk baily, ben bledsoe, david cowgill, terri douglas, fuschia!",2014,8.0,min,3.426530612244898
ds22,frozen fever,"kristen bell, idina menzel, jonathan groff, josh gad, santino fontana, chris williams",2015,11.0,min,3.515695067264574
ds23,get a horse!,"walt disney, marcellite garner, russi taylor, billy bletcher, will ryan, bob bergen",2013,7.0,min,3.549163179916318
ds24,home sweet home alone,"ellie kemper, rob delaney, archie yates, aisling bea, kenan thompson, tim simons",2021,95.0,min,3.4783080260303687
ds25,jungle cruise,"dwayne johnson, emily blunt, edgar ramirez, jack whitehall, jesse plemons, paul giamatti",2021,129.0,min,3.4906832298136647
ds26,limitless with chris hemsworth,chris hemsworth,2021,2.0,min,3.571283095723014
ds27,marvel studios’ 2021 disney+ day special,,2021,14.0,min,3.5740365111561867
ds28,obi-wan kenobi,,2021,1.0,min,3.5297131147540983
ds29,olaf presents,josh gad,2021,1.0,season,3.5436781609195402
ds30,paperman,"john kahrs, kari wahlgren",2012,7.0,min,3.544791666666667
ds31,pixar 2021 disney+ day special,"pete docter, larry the cable guy, jack dylan grazer, domee shi, angus maclane",2021,5.0,min,3.53714859437751
ds32,shang-chi and the legend of the ten rings,"simu liu, awkwafina, tony leung, michelle yeoh, meng'er zhang, ben kingsley",2021,134.0,min,3.583507306889353
ds33,spin,"avantika, michael bishop, anna cathcart, jahbril cook, kerri medders, aryan simhadri",2021,94.0,min,3.5639913232104123
ds34,tangled ever after,"mandy moore, zachary levi, alan dale, paul f. tompkins, kari wahlgren, mark allen stewart",2012,9.0,min,3.526315789473684
ds35,the ballad of nessie,billy connolly,2011,8.0,min,3.5762376237623763
ds36,the little matchgirl,,2006,7.0,min,3.5588235294117645
ds37,the making of happier than ever: a love letter to los angeles,"billie eilish, finneas, gustavo dudamel, patrick osborne, robert rodriguez",2021,30.0,min,3.5150537634408603
ds38,the proud family: louder and prouder,"kyla pratt, tommy davidson, paula jai parker, jomarie payton, cedric the entertainer",2021,1.0,min,3.6048387096774195
ds39,the simpsons in plusaversary,"dan castellaneta, nancy cartwright, yeardley smith, tress macneille, hank azaria",2021,6.0,min,3.490079365079365
ds40,tick tock tale,,2010,6.0,min,3.4404761904761907
ds41,under the helmet: the legacy of boba fett,,2021,22.0,min,3.607905982905983
ds42,willow,,2021,3.0,min,3.507766990291262
ds43,alvin and the chipmunks: chipwrecked,"jason lee, david cross, jenny slate, justin long, matthew gray gubler, jesse mccartney",2011,87.0,min,3.5285714285714285
ds44,jingle all the way,"arnold schwarzenegger, sinbad, phil hartman, rita wilson, robert conrad, martin mull",1996,90.0,min,3.497821350762527
ds45,jingle all the way 2,"larry the cable guy, brian stepanek, santino marella, kennedi clements, kirsten robek, rachel hayward",2014,91.0,min,3.575257731958763
ds46,prep & landing: operation secret santa,"betty white, dave foley, derek richardson, sarah chalke, w. morgan sheppard",2010,8.0,min,3.490981963927856
ds47,santa buddies: the legend of santa paws,"christopher lloyd, danny woodburn, craig anton, michael teigen, ben giroux, paul rae",2009,93.0,min,3.58265306122449
ds48,snow buddies,"dominic scott kay, john kapelos, lise simms, mike dopud, charles c. stevenson jr., dylan minnette",2008,91.0,min,3.5918163672654693
ds49,space buddies,"f.t. anderson, diedrich bader, field cate, kendall cross, mike dopud, mark downey",2009,87.0,min,3.5614203454894433
ds50,the search for santa paws,"resse alexander, diedrich bader, sahar biniaz, jan boss, ameko eks mass carroll, melody choi",2010,101.0,min,3.530060120240481
ds51,x-men: first class,"james mcavoy, michael fassbender, rose byrne, jennifer lawrence, january jones, nicholas hoult",2011,132.0,min,3.5674273858921164
ds52,disney amphibia,"justin felbinger, amanda leighton, bill farmer, brenda song",2018,3.0,season,3.5113871635610767
ds53,photo ark,joel sartore,2017,1.0,season,3.398936170212766
ds54,storm rising,,2021,1.0,season,3.4948559670781894
ds55,bob ballard: an explorer's life,,2021,44.0,min,3.550739957716702
