id,cast,release_year,duration_int,duration_type
as1,"brendan gleeson, taylor kitsch, gordon pinsent",2014,113.0,min
as2,"mahesh manjrekar, abhay mahajan, sachin khedekar",2018,110.0,min
as3,"tom sizemore, lorenzo lamas, robert lasardo, richard jones, yancey arias, noel gugliemi",2017,74.0,min
as4,"interviews with: pink, adele, beyoncé, britney spears, christina aguilera, more!",2014,69.0,min
as5,"harry dean stanton, kieran o'brien, george costigan, amanda dickinson, alison steadman, grant bardsley, bill moody, matthew scurfield",1989,45.0,min
as6,"gregory chisholm, juliet stevenson, brian henson, michael maloney",1989,52.0,min
as7,"alice cooper, liberty devitto, ray parker jr., david foster, jason hook, steve vai, phil x, rudy sarzo, jay graydon, rob zombie, kenny aronoff, steve lukather, justin derrico, eva gardner, john 5, eric singer, derek st. holmes, paul bushnell, jason newsted, glen sobel, nita strauss, chris johnson",2017,98.0,min
as8,"julianne hough, aaron tveit, vanessa hudgens, keke palmer, carly rae jepson, mario lopez, carlos penavega, kether donohue, jordan fisher, david del rio, andrew call, wendell pierce, boyz ii men, jessie j, ana gasteyer, didi conn",2016,131.0,min
as9,"michael paré, leanne khol young, patrick j. maceachern",2017,87.0,min
as10,"kirstie alley, sam waterston, stockard channing",1994,92.0,min
as11,"emily wilder, adrian cowan, gary mckenzie, jeremy ninaber, brenda somers, brian carleton, lora burke, winny clarke, mercedes morris, rebecca perry, emily agard, graham gauthier",2016,88.0,min
as12,"leslie bibb, kevin curtis, nadia dajani",2014,93.0,min
as13,"anders danielsen lie, golshifteh farahani, denis lavant, sigrid bouaziz, david kammenos",2018,94.0,min
as14,"rafinha alcantara, marc-andré ter stegen, sergi roberto, dr. ramón cugat, mazinho, xavi arruebo, celia ferreira da silva, ángel lapuebla, javier enríquez, thiago alcantara, valeria alcantara",2020,46.0,min
as15,"elon musk, per wimmer, julie anderson-ankenbrandt, cary cooper",2018,74.0,min
as16,"joey king, jack kilmer, andrea savage, paul scheer, june squibb, erin darke, stephen ruffin, kelly lamor wilson, logan medina, travis james, bill eudaly, elise duquette",2019,96.0,min
as17,"marcus anderson, kaiwi lyman, andrew asper",2016,87.0,min
as18,narrator - gillian barlett,2008,1.0,season
as19,zoë coombs marr,2020,1.0,season
as20,"ewan mcgregor, léa seydoux, theo james, miranda otto, rashida jones, christina aguilera, matthew gray gubler, anthony shim",2018,104.0,min
as21,,2001,1.0,season
as22,"alex cazares, ben diskin, cristina vee, erika ishii",2020,1.0,season
